suburb,type,price,Method,Date,Distance,Postcode,bedrooms,bathrooms,car,Landsize
Keilor East,h,740000,S,15/10/2016,12.8,3033,3,1,2,684
Keilor East,t,680000,SP,18/03/2017,12.8,3033,3,2,2,224
Keilor East,h,871000,S,18/06/2016,12.8,3033,4,2,2,570
Keilor East,h,808000,S,18/06/2016,12.8,3033,5,2,2,561
Keilor East,h,785000,S,18/06/2016,12.8,3033,3,1,2,606
Keilor East,h,695000,S,19/11/2016,12.8,3033,3,2,2,716
Keilor East,t,807000,S,22/05/2016,12.8,3033,4,2,2,319
Keilor East,h,770000,S,22/05/2016,12.8,3033,4,2,2,546
Keilor East,h,570000,SP,22/05/2016,12.8,3033,3,1,2,542
Keilor East,h,830000,S,22/08/2016,12.8,3033,4,2,2,686
Keilor East,h,680000,S,23/04/2016,12.8,3033,4,2,2,545
Keilor East,h,720000,SP,24/09/2016,12.8,3033,3,1,2,639
Keilor East,h,735000,SP,24/09/2016,12.8,3033,4,2,2,547
Keilor East,h,875000,PI,26/07/2016,12.8,3033,3,2,2,928
Keilor East,h,680000,S,27/06/2016,12.8,3033,3,1,2,558
Keilor East,h,650000,S,27/11/2016,12.8,3033,3,2,2,176
Keilor East,h,900000,S,27/11/2016,12.8,3033,3,1,2,600
Keilor East,h,823000,S,27/11/2016,12.8,3033,3,1,2,538
Keilor East,h,847000,S,28/05/2016,12.8,3033,4,3,2,579
Keilor East,h,705000,S,28/05/2016,12.8,3033,3,1,2,616
Keilor East,h,732000,S,28/08/2016,12.8,3033,4,2,2,544
Kensington,h,1675000,S,7/05/2016,4.2,3031,4,2,2,279
Kensington,h,1710000,PI,10/09/2016,4.2,3031,5,2,2,566
Kensington,h,765000,S,10/12/2016,4.2,3031,2,1,2,158
Kensington,u,570000,VB,11/03/2017,4.2,3031,3,1,2,0
Kensington,h,1234500,SP,13/08/2016,4.2,3031,2,2,2,169
Kensington,u,666000,S,13/08/2016,4.2,3031,2,1,2,1111
Kensington,h,1900000,VB,16/04/2016,4.2,3031,5,2,2,566
Kensington,h,1260000,S,19/11/2016,4.2,3031,3,2,2,250
Kensington,h,1000000,SP,19/11/2016,4.2,3031,3,2,2,211
Kensington,t,790000,SP,22/08/2016,4.2,3031,3,2,2,1181
Kensington,u,370000,PI,22/08/2016,4.2,3031,1,1,2,0
Kew,h,1635000,S,3/09/2016,5.6,3101,3,1,2,396
Kew,h,4350000,S,3/12/2016,5.6,3101,5,3,2,853
Kew,u,630000,PI,4/03/2017,5.6,3101,2,1,2,91
Kew,h,1490000,S,4/03/2017,5.6,3101,3,2,2,597
Kew,u,882000,S,4/06/2016,5.6,3101,3,2,2,0
Kew,h,2130000,S,6/08/2016,5.6,3101,4,2,2,649
Kew,u,820000,S,6/08/2016,5.6,3101,2,1,2,0
Kew,h,2200000,S,7/05/2016,5.6,3101,4,1,2,735
Kew,h,1326000,S,7/11/2016,5.6,3101,2,1,2,405
Kew,h,1875000,S,10/09/2016,5.6,3101,3,2,2,426
Kew,h,2850000,S,10/09/2016,5.6,3101,5,2,2,815
Kew,h,2550000,S,10/09/2016,5.6,3101,4,2,2,603
Kew,h,1910000,PI,10/12/2016,5.6,3101,4,3,2,277
Kew,h,1410000,S,10/12/2016,5.6,3101,3,1,2,304
Kew,h,2310000,S,10/12/2016,5.6,3101,3,1,2,782
Kew,h,1668000,S,11/02/2017,5.6,3101,3,2,2,289
Kew,t,800000,S,12/11/2016,5.6,3101,3,2,2,848
Kew,h,2286000,S,15/10/2016,5.6,3101,4,3,2,712
Kew,h,1575000,PI,15/10/2016,5.6,3101,3,2,2,397
Kew,u,765000,S,15/10/2016,5.6,3101,2,1,2,0
Kew,h,1507000,S,15/10/2016,5.6,3101,2,1,2,667
Kew,h,972500,S,16/04/2016,5.6,3101,3,2,2,0
Kew,h,2350000,VB,17/09/2016,5.6,3101,4,2,2,861
Kew,h,2117000,S,17/09/2016,5.6,3101,4,1,2,520
Kew,h,1476000,S,18/03/2017,5.6,3101,3,2,2,288
Kew,h,2590000,S,18/03/2017,5.6,3101,4,2,2,660
Kew,h,2625000,PI,18/03/2017,5.6,3101,4,2,2,717
Kew,h,2075000,S,18/06/2016,5.6,3101,4,2,2,764
Kew,h,2550000,PI,18/06/2016,5.6,3101,5,4,2,597
Kew,h,2240000,S,19/11/2016,5.6,3101,4,2,2,820
Kew,t,1330000,PI,19/11/2016,5.6,3101,3,2,2,205
Kew,h,1450000,VB,22/05/2016,5.6,3101,3,2,2,247
Kew,u,551000,S,23/04/2016,5.6,3101,2,1,2,0
Kew,h,2460000,S,24/09/2016,5.6,3101,4,4,2,737
Kew,h,2425000,VB,25/02/2017,5.6,3101,5,2,2,534
Kew,u,955000,S,25/02/2017,5.6,3101,3,2,2,140
Kew,h,1500000,PI,27/11/2016,5.6,3101,3,1,2,857
Kew,h,1750000,S,27/11/2016,5.6,3101,4,3,2,641
Kew,h,2600000,VB,27/11/2016,5.6,3101,5,2,2,674
Kew,h,2245000,S,27/11/2016,5.6,3101,4,3,2,627
Kew,t,730000,SP,27/11/2016,5.6,3101,3,2,2,0
Kew,h,2600000,VB,28/08/2016,5.6,3101,4,3,2,700
Kew,h,1420000,S,28/08/2016,5.6,3101,3,2,2,275
Kew,h,2250000,S,30/07/2016,5.6,3101,4,3,2,741
Kew East,h,1920000,S,10/12/2016,7.5,3102,3,1,2,672
Kew East,h,1610000,S,12/11/2016,7.5,3102,4,2,2,763
Kew East,h,1300000,S,15/10/2016,7.5,3102,3,1,2,378
Kew East,h,1880000,S,15/10/2016,7.5,3102,3,1,2,836
Kew East,h,1315000,SP,17/09/2016,7.5,3102,4,2,2,458
Kew East,h,2100000,VB,18/06/2016,7.5,3102,5,3,2,695
Kew East,h,2175000,VB,22/05/2016,7.5,3102,4,2,2,691
Kew East,h,1300000,VB,22/05/2016,7.5,3102,6,3,2,730
Kew East,h,1350000,SA,22/08/2016,7.5,3102,3,2,2,414
Kew East,t,1963000,S,24/09/2016,7.5,3102,3,2,2,426
Kew East,h,1315000,SP,24/09/2016,7.5,3102,4,2,2,458
Kew East,t,1620000,S,25/02/2017,7.5,3102,3,2,2,248
Kew East,t,1260000,S,27/06/2016,7.5,3102,3,2,2,284
Kooyong,h,1290000,S,15/10/2016,6.2,3144,2,2,2,0
Maidstone,t,615000,S,3/09/2016,9.2,3012,3,2,2,165
Maidstone,h,826000,S,3/09/2016,9.2,3012,4,2,2,308
Maidstone,t,640000,SP,3/12/2016,9.2,3012,3,2,2,214
Maidstone,h,490000,SP,4/06/2016,9.2,3012,3,1,2,306
Maidstone,h,725000,SP,7/11/2016,9.2,3012,3,1,2,305
Maidstone,u,520000,PI,10/12/2016,9.2,3012,3,2,2,184
Maidstone,h,1000000,SP,10/12/2016,9.2,3012,2,1,2,700
Maidstone,h,580000,PI,10/12/2016,9.2,3012,3,1,2,278
Maidstone,h,832000,SP,12/11/2016,9.2,3012,3,1,2,300
Maidstone,h,646000,SP,13/08/2016,9.2,3012,2,1,2,270
Maidstone,h,673000,SP,14/05/2016,9.2,3012,3,1,2,285
Maidstone,t,728000,S,15/10/2016,9.2,3012,3,2,2,218
Maidstone,t,600000,S,15/10/2016,9.2,3012,2,1,2,127
Maidstone,h,695000,S,15/10/2016,9.2,3012,3,1,2,214
Maidstone,h,935000,S,15/10/2016,9.2,3012,3,1,2,485
Maidstone,t,555000,PI,17/09/2016,9.2,3012,3,1,2,210
Maidstone,h,815000,S,17/09/2016,9.2,3012,3,1,2,0
Maidstone,h,1350000,S,19/11/2016,9.2,3012,5,3,2,527
Maidstone,h,930000,SP,19/11/2016,9.2,3012,3,1,2,492
Maidstone,t,510000,SP,22/08/2016,9.2,3012,2,1,2,118
Maidstone,h,725500,SP,22/08/2016,9.2,3012,3,2,2,214
Maidstone,h,765000,SP,24/09/2016,9.2,3012,4,1,2,672
Maidstone,h,1060000,S,24/09/2016,9.2,3012,4,2,2,660
Maidstone,h,740000,S,25/02/2017,9.2,3012,3,1,2,333
Maidstone,h,490000,SP,26/07/2016,9.2,3012,3,1,2,269
Maidstone,t,657000,S,26/07/2016,9.2,3012,3,2,2,159
Maidstone,h,830000,S,27/11/2016,9.2,3012,2,1,2,318
Maidstone,h,773000,S,30/07/2016,9.2,3012,4,1,2,333
Malvern,u,570500,S,4/03/2017,7.4,3144,2,1,2,0
Malvern,u,1350000,VB,4/03/2017,7.4,3144,2,2,2,0
Malvern,h,2300000,S,4/06/2016,7.4,3144,4,2,2,599
Malvern,h,3460000,S,4/06/2016,7.4,3144,4,2,2,502
Malvern,h,2400000,VB,6/08/2016,7.4,3144,4,2,2,586
Malvern,u,569000,S,7/05/2016,7.4,3144,2,1,2,0
Malvern,h,2025000,VB,7/05/2016,7.4,3144,3,2,2,396
Malvern,h,1611000,S,12/11/2016,7.4,3144,2,1,2,277
Malvern,h,3800000,S,13/08/2016,7.4,3144,4,3,2,587
Malvern,h,4700000,S,14/05/2016,7.4,3144,4,3,2,879
Malvern,u,1155000,S,17/09/2016,7.4,3144,2,2,2,0
Malvern,h,4525000,PI,22/08/2016,7.4,3144,4,4,2,716
Malvern,h,2325000,PI,25/02/2017,7.4,3144,3,2,2,347
Malvern,h,3470000,S,25/02/2017,7.4,3144,4,3,2,585
Malvern,h,2325000,S,25/02/2017,7.4,3144,5,3,2,501
Malvern,u,700000,VB,27/11/2016,7.4,3144,2,1,2,0
Malvern,h,2300000,S,30/07/2016,7.4,3144,3,2,2,313
Malvern East,u,980000,S,3/12/2016,11.2,3145,3,1,2,317
Malvern East,h,2400000,VB,3/12/2016,11.2,3145,4,2,2,758
Malvern East,h,1301000,PI,3/12/2016,11.2,3145,4,3,2,611
Malvern East,h,2350000,PI,3/12/2016,11.2,3145,5,2,2,567
Malvern East,h,1215000,PI,4/03/2017,11.2,3145,4,2,2,207
Malvern East,h,2200000,VB,4/03/2017,11.2,3145,4,2,2,541
Malvern East,h,2200000,VB,4/03/2017,11.2,3145,4,3,2,567
Malvern East,u,790000,S,4/03/2017,11.2,3145,2,1,2,196
Malvern East,h,2250000,S,4/03/2017,11.2,3145,4,1,2,720
Malvern East,h,1105000,S,6/08/2016,11.2,3145,3,2,2,331
Malvern East,h,1400000,VB,7/11/2016,11.2,3145,4,2,2,260
Malvern East,h,2210000,SP,8/10/2016,11.2,3145,3,1,2,789
Malvern East,h,1810000,PI,10/09/2016,11.2,3145,5,3,2,751
Malvern East,t,922000,S,10/09/2016,11.2,3145,3,2,2,0
Malvern East,h,1555000,S,12/06/2016,11.2,3145,3,2,2,691
Malvern East,h,2123000,S,12/11/2016,11.2,3145,4,3,2,412
Malvern East,h,2305000,S,13/08/2016,11.2,3145,3,2,2,543
Malvern East,h,1700000,VB,14/05/2016,11.2,3145,4,3,2,365
Malvern East,h,2500000,VB,14/05/2016,11.2,3145,5,3,2,488
Malvern East,h,1150000,PI,14/05/2016,11.2,3145,2,1,2,604
Malvern East,h,1600000,S,15/10/2016,11.2,3145,5,2,2,639
Malvern East,h,2001000,S,15/10/2016,11.2,3145,4,2,2,526
Malvern East,h,1915000,PI,16/04/2016,11.2,3145,3,2,2,700
Malvern East,h,1690000,S,16/04/2016,11.2,3145,4,2,2,334
Malvern East,t,1135000,S,17/09/2016,11.2,3145,3,3,2,0
Malvern East,t,1240000,PI,18/03/2017,11.2,3145,4,2,2,310
Malvern East,t,1120000,PI,18/03/2017,11.2,3145,3,2,2,181
Malvern East,h,1500000,S,18/03/2017,11.2,3145,3,1,2,888
Malvern East,t,1370000,S,22/08/2016,11.2,3145,3,2,2,323
Malvern East,h,1680000,S,22/08/2016,11.2,3145,3,2,2,234
Malvern East,h,2110000,PI,22/08/2016,11.2,3145,4,2,2,645
Malvern East,h,1300000,S,22/08/2016,11.2,3145,3,2,2,323
Malvern East,h,1750000,S,22/08/2016,11.2,3145,3,1,2,562
Malvern East,h,1100000,PI,24/09/2016,11.2,3145,3,1,2,645
Malvern East,h,1230000,S,24/09/2016,11.2,3145,3,2,2,822
Malvern East,t,2560000,PI,25/02/2017,11.2,3145,4,3,2,427
Malvern East,t,1015000,S,27/11/2016,11.2,3145,3,2,2,0
Malvern East,h,1335000,S,27/11/2016,11.2,3145,3,2,2,606
Malvern East,h,1350000,VB,27/11/2016,11.2,3145,4,3,2,222
Malvern East,h,1650000,S,28/05/2016,11.2,3145,3,1,2,764
Malvern East,h,1782500,S,28/08/2016,11.2,3145,3,1,2,615
Maribyrnong,h,870000,SP,3/12/2016,8.7,3032,3,2,2,392
Maribyrnong,h,975000,PI,3/12/2016,8.7,3032,3,1,2,597
Maribyrnong,t,560000,VB,4/02/2016,8.7,3032,3,2,2,77
Maribyrnong,t,560000,VB,4/02/2016,8.7,3032,3,2,2,83
Maribyrnong,t,550000,SP,7/05/2016,8.7,3032,3,2,2,77
Maribyrnong,u,420000,SP,7/05/2016,8.7,3032,2,1,2,5661
Maribyrnong,t,730000,S,7/11/2016,8.7,3032,3,1,2,250
Maribyrnong,u,662500,S,7/11/2016,8.7,3032,3,2,2,202
Maribyrnong,t,410000,S,10/09/2016,8.7,3032,2,1,2,53
Maribyrnong,h,930000,VB,10/09/2016,8.7,3032,5,2,2,330
Maribyrnong,h,920000,SP,10/09/2016,8.7,3032,3,1,2,689
Maribyrnong,h,1320000,S,10/09/2016,8.7,3032,3,2,2,645
Maribyrnong,h,1150000,SP,10/09/2016,8.7,3032,5,3,2,446
Maribyrnong,h,680000,SP,10/09/2016,8.7,3032,3,2,2,225
Maribyrnong,h,990000,S,10/12/2016,8.7,3032,5,2,2,433
Maribyrnong,t,1011000,S,11/02/2017,8.7,3032,3,2,2,225
Maribyrnong,h,847000,S,12/11/2016,8.7,3032,3,2,2,222
Maribyrnong,u,400000,SP,12/11/2016,8.7,3032,2,1,2,3967
Maribyrnong,h,1100000,PI,14/05/2016,8.7,3032,4,2,2,586
Maribyrnong,h,1072000,S,14/05/2016,8.7,3032,3,2,2,1396
Maribyrnong,t,865000,PI,16/04/2016,8.7,3032,3,2,2,151
Maribyrnong,u,488000,S,16/04/2016,8.7,3032,2,2,2,0
Maribyrnong,u,495000,S,18/03/2017,8.7,3032,2,2,2,37000
Maribyrnong,t,820000,VB,18/03/2017,8.7,3032,3,2,2,275
Maribyrnong,h,456000,SP,18/03/2017,8.7,3032,3,2,2,4977
Maribyrnong,h,1040000,S,18/06/2016,8.7,3032,4,3,2,298
Maribyrnong,h,1460000,S,19/11/2016,8.7,3032,3,1,2,926
Maribyrnong,h,780000,VB,22/05/2016,8.7,3032,3,3,2,173
Maribyrnong,t,675000,SP,22/05/2016,8.7,3032,3,2,2,210
Maribyrnong,t,440000,PI,22/08/2016,8.7,3032,2,1,2,54
Maribyrnong,t,400000,PI,24/09/2016,8.7,3032,2,1,2,54
Maribyrnong,h,1180000,SP,25/02/2017,8.7,3032,4,3,2,688
Maribyrnong,h,1117000,S,25/02/2017,8.7,3032,4,3,2,325
Maribyrnong,t,1000000,PI,25/02/2017,8.7,3032,5,3,2,98
Maribyrnong,h,770000,SP,26/07/2016,8.7,3032,4,2,2,215
Maribyrnong,h,905000,S,27/06/2016,8.7,3032,3,1,2,696
Maribyrnong,h,907000,S,27/11/2016,8.7,3032,3,1,2,678
Maribyrnong,h,820000,PI,28/05/2016,8.7,3032,3,2,2,203
Maribyrnong,h,884500,S,30/07/2016,8.7,3032,3,2,2,211
Melbourne,u,680000,S,17/09/2016,2.8,3000,1,1,2,0
Melbourne,u,470000,VB,18/03/2017,2.8,3000,2,1,2,0
Middle Park,h,2350000,S,3/12/2016,4.1,3206,3,1,2,277
Middle Park,h,2623000,S,26/07/2016,4.1,3206,3,2,2,181
Mont Albert,h,2850000,S,3/09/2016,11.8,3127,4,2,2,1388
Mont Albert,u,750000,S,4/02/2016,11.8,3127,2,2,2,0
Mont Albert,h,2588000,SP,7/11/2016,11.8,3127,3,3,2,1149
Mont Albert,h,1955000,PI,8/10/2016,11.8,3127,5,3,2,424
Mont Albert,h,1400000,PI,10/12/2016,11.8,3127,5,4,2,355
Mont Albert,u,665000,S,10/12/2016,11.8,3127,2,2,2,1291
Mont Albert,h,2714000,S,12/11/2016,11.8,3127,5,2,2,1053
Mont Albert,h,2200000,S,13/08/2016,11.8,3127,4,2,2,931
Mont Albert,t,1310000,S,15/10/2016,11.8,3127,3,2,2,330
Mont Albert,h,2335000,S,18/03/2017,11.8,3127,4,2,2,813
Mont Albert,u,725000,VB,19/11/2016,11.8,3127,2,2,2,0
Mont Albert,t,1200000,S,27/06/2016,11.8,3127,3,2,2,255
Mont Albert,h,1564000,S,27/11/2016,11.8,3127,3,2,2,640
Moonee Ponds,u,670000,S,3/09/2016,6.9,3039,3,2,2,0
Moonee Ponds,h,1055000,S,3/12/2016,6.9,3039,3,2,2,0
Moonee Ponds,h,1780000,S,4/03/2017,6.9,3039,4,3,2,615
Moonee Ponds,h,2150000,VB,4/03/2017,6.9,3039,6,3,2,912
Moonee Ponds,h,990000,PI,7/11/2016,6.9,3039,3,1,2,328
Moonee Ponds,h,1400000,S,7/11/2016,6.9,3039,3,2,2,597
Moonee Ponds,h,880000,SP,8/10/2016,6.9,3039,3,2,2,315
Moonee Ponds,h,1350000,PI,10/09/2016,6.9,3039,4,2,2,447
Moonee Ponds,h,832000,S,10/09/2016,6.9,3039,3,2,2,214
Moonee Ponds,h,2400000,S,10/09/2016,6.9,3039,4,4,2,636
Moonee Ponds,h,1395000,PI,10/12/2016,6.9,3039,4,1,2,603
Moonee Ponds,h,1361500,S,10/12/2016,6.9,3039,4,1,2,453
Moonee Ponds,h,1505000,S,12/11/2016,6.9,3039,3,2,2,249
Moonee Ponds,h,1100000,VB,13/08/2016,6.9,3039,3,1,2,572
Moonee Ponds,h,1145000,SP,14/05/2016,6.9,3039,3,2,2,478
Moonee Ponds,h,1900000,VB,15/10/2016,6.9,3039,5,3,2,646
Moonee Ponds,h,1370000,S,16/04/2016,6.9,3039,3,1,2,427
Moonee Ponds,h,1400000,SP,16/04/2016,6.9,3039,3,2,2,394
Moonee Ponds,h,1480000,S,17/09/2016,6.9,3039,3,1,2,436
Moonee Ponds,u,672000,SP,17/09/2016,6.9,3039,2,1,2,230
Moonee Ponds,t,980000,PI,18/03/2017,6.9,3039,5,2,2,207
Moonee Ponds,h,1345000,SP,18/06/2016,6.9,3039,4,2,2,313
Moonee Ponds,t,870000,S,23/04/2016,6.9,3039,3,2,2,156
Moonee Ponds,h,1505000,S,25/02/2017,6.9,3039,4,2,2,441
Moonee Ponds,h,956000,SP,27/06/2016,6.9,3039,2,1,2,435
Moonee Ponds,h,1683000,SP,27/06/2016,6.9,3039,3,2,2,222
Moonee Ponds,t,1130000,S,27/11/2016,6.9,3039,3,2,2,217
Moonee Ponds,u,730000,SP,28/05/2016,6.9,3039,2,1,2,217
Moonee Ponds,h,1111000,S,28/08/2016,6.9,3039,3,1,2,502
Moonee Ponds,t,800000,S,30/07/2016,6.9,3039,2,2,2,239
Moorabbin,h,1000000,S,3/09/2016,14.6,3189,3,2,2,573
Moorabbin,h,930000,VB,3/12/2016,14.6,3189,4,3,2,443
Moorabbin,h,1090000,SP,3/12/2016,14.6,3189,3,2,2,784
Moorabbin,h,947500,S,3/12/2016,14.6,3189,4,2,2,609
Moorabbin,h,1417250,S,4/02/2016,14.6,3189,3,2,2,653
Moorabbin,h,980000,SP,4/03/2017,14.6,3189,3,1,2,623
Moorabbin,u,931000,S,7/11/2016,14.6,3189,3,1,2,313
Moorabbin,h,1016000,S,11/02/2017,14.6,3189,4,3,2,272
Moorabbin,t,910000,S,12/11/2016,14.6,3189,3,2,2,312
Moorabbin,h,1385000,S,14/05/2016,14.6,3189,4,2,2,807
Moorabbin,t,785000,S,16/04/2016,14.6,3189,3,2,2,169
Moorabbin,h,1300000,S,17/09/2016,14.6,3189,4,3,2,743
Moorabbin,u,605000,S,19/11/2016,14.6,3189,2,1,2,180
Moorabbin,h,975000,SP,22/08/2016,14.6,3189,3,1,2,650
Moorabbin,h,800000,PI,26/07/2016,14.6,3189,3,2,2,261
Moorabbin,h,921000,S,26/07/2016,14.6,3189,4,1,2,592
Moorabbin,t,917000,S,26/07/2016,14.6,3189,3,2,2,472
Moorabbin,h,1191000,S,27/11/2016,14.6,3189,2,1,2,756
Moorabbin,h,1130000,S,27/11/2016,14.6,3189,4,1,2,638
Moorabbin,h,1160000,S,28/05/2016,14.6,3189,4,2,2,588
Moorabbin,h,825000,PI,28/05/2016,14.6,3189,3,1,2,538
Newport,h,1025000,SP,3/09/2016,8.4,3015,3,2,2,301
Newport,h,900000,SP,3/12/2016,8.4,3015,3,2,2,194
Newport,t,962000,S,3/12/2016,8.4,3015,3,2,2,283
Newport,h,785000,S,4/03/2017,8.4,3015,3,2,2,0
Newport,h,710000,S,4/06/2016,8.4,3015,4,1,2,329
Newport,h,920000,VB,4/06/2016,8.4,3015,3,2,2,296
Newport,h,1082000,S,6/08/2016,8.4,3015,4,3,2,233
Newport,h,995000,SP,7/11/2016,8.4,3015,3,1,2,316
Newport,h,1220000,S,10/09/2016,8.4,3015,5,3,2,681
Newport,h,1002500,S,14/05/2016,8.4,3015,3,1,2,501
Newport,h,1030000,S,15/10/2016,8.4,3015,2,1,2,470
Newport,h,1046000,SP,15/10/2016,8.4,3015,3,2,2,284
Newport,h,716000,S,16/04/2016,8.4,3015,3,1,2,268
Newport,t,735000,S,16/04/2016,8.4,3015,3,2,2,0
Newport,h,762000,S,16/07/2016,8.4,3015,2,1,2,451
Newport,h,950000,S,16/07/2016,8.4,3015,3,1,2,453
Newport,h,1675000,S,18/03/2017,8.4,3015,3,2,2,575
Newport,h,1176000,S,18/06/2016,8.4,3015,3,1,2,767
Newport,h,1185000,S,19/11/2016,8.4,3015,3,1,2,771
Newport,t,770000,S,19/11/2016,8.4,3015,3,2,2,224
Newport,h,993000,SP,22/05/2016,8.4,3015,3,2,2,348
Newport,h,3420000,PI,22/08/2016,8.4,3015,4,2,2,757
Newport,h,805000,S,23/04/2016,8.4,3015,3,1,2,322
Newport,t,827500,S,24/09/2016,8.4,3015,4,3,2,221
Newport,t,747000,S,24/09/2016,8.4,3015,3,2,2,753
Newport,h,910000,S,24/09/2016,8.4,3015,3,1,2,531
Newport,t,820000,S,27/06/2016,8.4,3015,4,2,2,753
Newport,h,1040000,S,27/11/2016,8.4,3015,3,1,2,595
Newport,h,760000,S,28/08/2016,8.4,3015,2,1,2,255
Newport,h,900000,SP,30/07/2016,8.4,3015,3,2,2,360
Niddrie,t,830000,S,3/09/2016,11.2,3042,3,3,2,303
Niddrie,h,780000,PI,3/09/2016,11.2,3042,3,2,2,274
Niddrie,h,1020000,PI,3/12/2016,11.2,3042,3,1,2,650
Niddrie,h,1126000,SP,3/12/2016,11.2,3042,4,2,2,650
Niddrie,h,895500,S,7/05/2016,11.2,3042,3,2,2,347
Niddrie,h,1350000,SP,7/11/2016,11.2,3042,4,3,2,747
Niddrie,h,840000,S,13/08/2016,11.2,3042,3,1,2,603
Niddrie,h,785000,S,14/05/2016,11.2,3042,3,1,2,620
Niddrie,t,840000,S,15/10/2016,11.2,3042,3,2,2,374
Niddrie,h,850000,S,16/04/2016,11.2,3042,4,3,2,641
Niddrie,h,1065000,SP,18/03/2017,11.2,3042,3,1,2,653
Niddrie,h,773000,S,18/06/2016,11.2,3042,3,2,2,403
Niddrie,h,1190000,S,19/11/2016,11.2,3042,2,1,2,650
Niddrie,h,1160000,PI,28/05/2016,11.2,3042,4,3,2,424
Niddrie,u,815000,S,30/07/2016,11.2,3042,3,2,2,203
North Melbourne,u,550000,SP,7/11/2016,2.3,3051,2,1,2,0
North Melbourne,t,1300000,S,11/02/2017,2.3,3051,3,2,2,67
North Melbourne,u,606000,S,16/04/2016,2.3,3051,2,1,2,0
North Melbourne,u,620000,S,19/11/2016,2.3,3051,2,1,2,0
North Melbourne,u,550055,SP,27/11/2016,2.3,3051,2,1,2,1004
Northcote,h,1382500,SA,3/09/2016,5.5,3070,3,2,2,286
Northcote,u,592000,S,4/03/2017,5.5,3070,2,1,2,0
Northcote,h,2000000,SP,4/06/2016,5.5,3070,6,2,2,772
Northcote,t,650000,VB,7/05/2016,5.5,3070,2,2,2,55
Northcote,h,1950000,S,8/10/2016,5.5,3070,4,1,2,608
Northcote,h,1020000,S,10/09/2016,5.5,3070,2,1,2,347
Northcote,u,435000,S,10/09/2016,5.5,3070,1,1,2,0
Northcote,u,605000,S,10/09/2016,5.5,3070,2,1,2,0
Northcote,h,2270000,S,10/12/2016,5.5,3070,4,2,2,440
Northcote,h,1340000,S,10/12/2016,5.5,3070,4,1,2,0
Northcote,h,1310000,PI,12/06/2016,5.5,3070,4,2,2,282
Northcote,h,910000,S,12/11/2016,5.5,3070,2,1,2,229
Northcote,h,2100000,PI,12/11/2016,5.5,3070,4,1,2,0
Northcote,t,865000,S,12/11/2016,5.5,3070,3,1,2,184
Northcote,h,1085000,S,13/08/2016,5.5,3070,3,1,2,610
Northcote,h,926000,S,14/05/2016,5.5,3070,3,1,2,380
Northcote,h,2155000,S,15/10/2016,5.5,3070,5,2,2,692
Northcote,h,1676000,S,16/07/2016,5.5,3070,3,1,2,401
Northcote,t,900000,S,16/07/2016,5.5,3070,3,2,2,608
Northcote,u,810000,SP,17/09/2016,5.5,3070,3,1,2,150
Northcote,h,1255000,S,18/03/2017,5.5,3070,2,1,2,314
Northcote,h,2315000,SP,18/03/2017,5.5,3070,3,1,2,899
Northcote,h,1035000,S,22/05/2016,5.5,3070,2,1,2,243
Northcote,h,975000,S,22/05/2016,5.5,3070,3,1,2,274
Northcote,h,1095000,S,22/08/2016,5.5,3070,2,1,2,306
Northcote,h,1225000,SP,23/04/2016,5.5,3070,3,1,2,307
Northcote,h,1090000,SP,24/09/2016,5.5,3070,3,1,2,318
Northcote,t,980000,S,25/02/2017,5.5,3070,3,2,2,195
Northcote,h,1050000,S,27/06/2016,5.5,3070,2,1,2,301
Northcote,h,1610000,S,27/11/2016,5.5,3070,3,1,2,501
Northcote,h,1820000,SP,28/05/2016,5.5,3070,5,3,2,344
Northcote,h,1400000,S,28/08/2016,5.5,3070,3,1,2,582
Northcote,h,1300000,VB,28/08/2016,5.5,3070,4,3,2,187
Northcote,h,1634000,SP,28/08/2016,5.5,3070,2,1,2,376
Oak Park,h,592000,S,3/09/2016,11.5,3046,2,1,2,577
Oak Park,u,647000,S,3/12/2016,11.5,3046,3,1,2,250
Oak Park,h,865000,S,3/12/2016,11.5,3046,4,1,2,696
Oak Park,h,1350000,S,4/03/2017,11.5,3046,4,2,2,590
Oak Park,h,830000,PI,7/05/2016,11.5,3046,4,2,2,616
Oak Park,h,920000,S,7/11/2016,11.5,3046,4,2,2,780
Oak Park,t,770000,S,11/02/2017,11.5,3046,3,2,2,272
Oak Park,h,727500,S,13/08/2016,11.5,3046,3,1,2,719
Oak Park,u,651000,S,16/07/2016,11.5,3046,3,2,2,198
Oak Park,t,770000,SP,16/07/2016,11.5,3046,3,2,2,264
Oak Park,h,815500,S,16/07/2016,11.5,3046,3,2,2,790
Oak Park,h,770000,S,17/09/2016,11.5,3046,3,2,2,382
Oak Park,h,840000,SP,18/06/2016,11.5,3046,4,1,2,704
Oak Park,h,855333,S,28/08/2016,11.5,3046,4,1,2,694
Oak Park,h,900000,VB,30/07/2016,11.5,3046,5,2,2,568
Oak Park,h,480000,S,30/07/2016,11.5,3046,2,1,2,0
Oakleigh South,h,981000,S,3/12/2016,14.7,3167,3,1,2,646
Oakleigh South,h,651000,PI,7/05/2016,14.7,3167,4,2,2,214
Oakleigh South,h,881500,S,10/09/2016,14.7,3167,4,2,2,581
Oakleigh South,h,900000,S,11/02/2017,14.7,3167,5,2,2,558
Oakleigh South,h,782000,SP,11/03/2017,14.7,3167,3,2,2,0
